AUDI A1;Sportback 25 TFSI Advanced;2019;Toledo;18.500 km;06/2019;Sí;Rojo;C;16.900 €;22.935 €;4.030 mm;1.740 mm;1.410 mm;2.469;335/920;1.630;Berlina;5;5 ;Gasolina;999;3;Turbo;Tracción delantera;Manual;5;70;95;175;191;10,80;5,80;3,90;4,60;110;40,00;Vendedor profesional;26/10/2020
AUDI A4;Avant 1.9TDI 6vel.;2003;Vizcaya;315.421 km;09/2003;12 meses;Negro;;3.490 €;31.160 €;4.544 mm;1.766 mm;1.428 mm;2.650;0/0;2.010;Stationwagon;5;5 ;Diesel;1.896;4;no link (0012);Tracción delantera;Manual;6;96;130;310;203;10,20;7,60;4,70;5,70;-;70,00;Vendedor profesional;06/11/2020
AUDI A3;  Cabrio 1.4 TFSI Design Edition S-T 85kW;2018;Valencia;22.956 km;03/2018;12 meses;GRIS OSCURO;C;24.900 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vendedor profesional;29/10/2020
AUDI R8;5.2 FSI V10 quattro S Tronic;2016;Valencia;19.000 km;2016;12 meses;Blanco Metalizado;C;126.900 €;199.677 €;4.426 mm;1.940 mm;1.240 mm;2.650;112/126;1.895;Coupe;2;2 ;Gasolina;5.204;10;no link (0012);Tracción total permanente;Automática secuencial;7;397;540;540;323;3,50;16,70;8,40;11,40;272;83,00;Vendedor profesional;06/11/2020
AUDI A3;S3 Sedán quattro S tronic;2019;Vizcaya;13.000 km;08/2019;24 meses;Negro;C;45.900 €;54.298 €;4.466 mm;1.796 mm;1.392 mm;2.631;390/0;2.045;Berlina;4;5 ;Gasolina;1.984;4;Turbo;Tracción total permanente;Automática secuencial;7;221;300;400;250;4,70;8,70;5,80;6,80;155;55,00;Vendedor profesional;23/10/2020
AUDI Q5;2.0TDI CD quattro S Line Ed. S-T 190;2015;Pontevedra;93.000 km;05/2015;12 meses;Azul;C;25.900 €;52.636 €;4.629 mm;1.898 mm;1.655 mm;2.807;540/1.560;2.470;Todo Terreno;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Todo terreno tracción total permanente;Automática secuencial;7;140;190;400;210;8,40;6,50;5,30;5,70;149;75,00;Vendedor profesional;07/11/2020
AUDI Q5;2.0TDI quattro-ultra S tronic 140kW;2018;Madrid;66.000 km;06/2018;12 meses;Azul Metalizado;C;39.500 €;50.345 €;4.663 mm;1.893 mm;1.659 mm;2.819;550/1.550;2.440;Todo Terreno;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Todo terreno tracción total permanente;Automática secuencial;7;140;190;400;218;7,90;5,30;4,70;4,90;129;70,00;Vendedor profesional;06/11/2020
AUDI A6;Avant 2.0TDI 140kW;2018;Toledo;24.400 km;06/2018;Sí;Plata;C;30.700 €;47.867 €;4.943 mm;1.874 mm;1.461 mm;2.912;565/1.680;2.320;Stationwagon;5;5 ;Diesel;1.968;4;Turbo;Tracción delantera;Manual;6;140;190;400;226;8,70;5,60;4,00;4,60;119;73,00;Vendedor profesional;04/11/2020
AUDI A6;Avant 3.0TDI S line edition Q. S-T 200kW;2015;Madrid;199.176 km;07/2015;No;Plata;C;22.990 €;67.530 €;4.943 mm;1.874 mm;1.461 mm;2.912;565/1.680;2.465;Stationwagon;5;5 ;Diesel;2.967;6;Turbo;Tracción total permanente;Automática secuencial;7;200;272;580;250;5,70;6,00;4,80;5,30;138;73,00;Vendedor profesional;06/11/2020
AUDI A3;2.0TDI Ambiente quattro S-T 184;2013;Cantabria;169.000 km;02/2013;12 meses;Gris Metalizado;B;18.500 €;38.212 €;4.237 mm;1.777 mm;1.421 mm;2.601;325/1.060;1.955;Berlina;3;5 ;Diesel;1.968;4;Turbo;Tracción total permanente;Automática secuencial;6;135;184;380;230;6,80;5,60;4,30;4,80;125;55,00;Vendedor profesional;06/11/2020
